barryvdh/laravel-ide-helper           v2.0.3  Laravel IDE Helper, generate...
classpreloader/classpreloader         1.2.0   Helps class loading performa...
danielstjules/stringy                 1.9.0   A string manipulation librar...
dnoegel/php-xdg-base-dir              0.1     implementation of xdg base d...
doctrine/inflector                    v1.0.1  Common String Manipulations ...
doctrine/instantiator                 1.0.4   A small, lightweight utility...
ircmaxell/password-compat             v1.0.4  A compatibility library for ...
jakub-onderka/php-console-color       0.1     
jakub-onderka/php-console-highlighter v0.3.1  
jeremeamia/SuperClosure               2.1.0   Serialize Closure objects, i...
laravel/framework                     v5.0.16 The Laravel Framework.
league/flysystem                      1.0.2   Many filesystems, one API.
monolog/monolog                       1.13.1  Sends your logs to files, so...
mtdowling/cron-expression             v1.0.4  CRON for PHP: Calculate the ...
nesbot/carbon                         1.17.0  A simple API extension for D...
nikic/php-parser                      v1.1.0  A PHP parser written in PHP
phpdocumentor/reflection-docblock     2.0.4   
phpspec/php-diff                      v1.0.2  A comprehensive library for ...
phpspec/phpspec                       2.1.1   Specification-oriented BDD f...
phpspec/prophecy                      v1.3.1  Highly opinionated mocking f...
phpunit/php-code-coverage             2.0.15  Library that provides collec...
phpunit/php-file-iterator             1.3.4   FilterIterator implementatio...
phpunit/php-text-template             1.2.0   Simple template engine.
phpunit/php-timer                     1.0.5   Utility class for timing
phpunit/php-token-stream              1.4.0   Wrapper around PHP's tokeniz...
phpunit/phpunit                       4.5.0   The PHP Unit Testing framework.
phpunit/phpunit-mock-objects          2.3.0   Mock Object library for PHPUnit
psr/log                               1.0.0   Common interface for logging...
psy/psysh                             v0.4.1  An interactive shell for mod...
sebastian/comparator                  1.1.1   Provides the functionality t...
sebastian/diff                        1.2.0   Diff implementation
sebastian/environment                 1.2.1   Provides functionality to ha...
sebastian/exporter                    1.2.0   Provides the functionality t...
sebastian/global-state                1.0.0   Snapshotting of global state
sebastian/recursion-context           1.0.0   Provides functionality to re...
sebastian/version                     1.0.4   Library that helps with mana...
swiftmailer/swiftmailer               v5.3.1  Swiftmailer, free feature-ri...
symfony/class-loader                  v2.6.5  Symfony ClassLoader Component
symfony/console                       v2.6.4  Symfony Console Component
symfony/debug                         v2.6.4  Symfony Debug Component
symfony/event-dispatcher              v2.6.4  Symfony EventDispatcher Comp...
symfony/filesystem                    v2.6.4  Symfony Filesystem Component
symfony/finder                        v2.6.4  Symfony Finder Component
symfony/http-foundation               v2.6.4  Symfony HttpFoundation Compo...
symfony/http-kernel                   v2.6.4  Symfony HttpKernel Component
symfony/process                       v2.6.4  Symfony Process Component
symfony/routing                       v2.6.4  Symfony Routing Component
symfony/security-core                 v2.6.4  Symfony Security Component -...
symfony/translation                   v2.6.4  Symfony Translation Component
symfony/var-dumper                    v2.6.4  Symfony mechanism for explor...
symfony/yaml                          v2.6.4  Symfony Yaml Component
vlucas/phpdotenv                      v1.1.0  Loads environment variables ...
